coc_number,coc_name,coc_category,year,overall_homeless,homeless_rate_total_pop,homeless_rate_in_poverty,homeless_per_1000_total_pop,homeless_per_1000_in_poverty,coc_pop,coc_poverty_pop,coc_poverty_rate,avg_renter_share,avg_fmr0,avg_fmr1,avg_fmr2,avg_fmr3,avg_fmr4,fmr0_pct_coc_na_rent,fmr1_pct_coc_na_rent,fmr2_pct_coc_na_rent,fmr3_pct_coc_na_rent,fmr4_pct_coc_na_rent,coc_rent_zillow,coc_share_na_rent_zillow,share_rent_over_30_pct_inc,share_rent_over_50_pct_inc,median_rent_burden,gross_vacancy_rate,rental_vacancy_rate,coc_unemployment_rate,share_na_coc_unemployment_rate,shr_hh_with_snap,shr_hh_with_pub_assist,shr_hh_with_snap_or_pub_assist,shr_hh_with_ssi,shr_with_medicaid
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2018,445,0.001621040744585906,0.013027694829908074,1.621040744585906,13.027694829908073,274515,34158,0.12443035899677614,0.3678324558575982,676,837,1039,1336,1415,0,0,0,0,0,1096.1818181818185,0.906551748365699,0.4586648129553822,0.23413403362426302,0.2841236362311713,0.09743009536124131,0.05762850520383584,0.046,0,0.12516564592958704,0.034266322839439846,0.13336735790265392,0.05632856989362845,0.1461248736871115
PA-501,Harrisburg/Dauphin County CoC,Largely Suburban CoC,2019,418,0.0015165147733209497,0.012532230017389219,1.5165147733209496,12.53223001738922,275632,33354,0.1210091716491554,0.36786618187003173,650,813,1012,1296,1368,0,0,0,0,0,1104.1818181818182,0.9067826641333392,0.43723010093266895,0.22210297687492014,0.2764365530852731,0.09742286284225089,0.06064019102110693,0.042,0,0.11589669554058389,0.03136028232274623,0.12555698142801128,0.05371974476883043,0.15175795411254348
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2011,648,0.0011620233552348436,0.012671594508975714,1.1620233552348436,12.671594508975714,557648,51138,0.09170300978394973,0.28654959437743227,789,900,1077,1317,1589,0,0,0,0,0,NA,0,0.5344091637699692,0.2913927561551069,0.3282617606704692,0.0727039327809546,0.07292223563016481,0.078,0,0.07882534027764332,0.029182559197661134,0.08765416561792097,0.04199016437878759,NA
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2012,604,0.0010807444969706947,0.011460013281472345,1.0807444969706947,11.460013281472346,558874,52705,0.09430569323317957,0.2921449755122051,788,899,1075,1315,1586,0,0,0,0,0,NA,0,0.5444462106360056,0.29760327805153747,0.33980354449131495,0.07461191562758274,0.0791680392920248,0.078,0,0.08752020425102296,0.03174919061649055,0.09769392440576447,0.04335965751064212,0.0902836566895896
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2013,546,9.753988684658548e-4,0.009839256108988684,0.9753988684658548,9.839256108988684,559771,55492,0.09913339562070918,0.29447529191145233,788,929,1119,1394,1496,0,0,0,0,0,NA,0,0.539657634469263,0.293214392750736,0.3340437832250443,0.07956093153714416,0.08779516443017847,0.078,0,0.09631734962470272,0.032392282110259754,0.1068022327380342,0.047662999155153804,0.09700479071675826
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2014,509,9.076724176363069e-4,0.008950552155869733,0.9076724176363069,8.950552155869733,560775,56868,0.10140965627925638,0.30053624414017627,799,942,1135,1414,1518,0,0,0,0,0,1582.1547891753291,0.9731424206608354,0.5429284612317773,0.29383417982631005,0.33531775576925205,0.0802904284493998,0.08257123144899667,0.061,0,0.10271250568262363,0.03229685537050706,0.11292900753283701,0.051913516578596185,0.09873634302799517
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2015,436,7.762385544871395e-4,0.007622111114995979,0.7762385544871395,7.622111114995979,561683,57202,0.1018403619123242,0.3006078982616759,814,959,1156,1440,1546,0,0,0,0,0,1647.69869197015,0.9726587829382803,0.5453931416695532,0.2902667128507101,0.3312910376694911,0.08293400645222251,0.07907121754234897,0.055,0,0.10591363821467296,0.03148903182757081,0.11543688701138767,0.05518676067256412,0.1044494937873907
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2016,406,7.220139565653476e-4,0.006912167798832082,0.7220139565653476,6.912167798832082,562316,58737,0.10445550188861778,0.30606551741073623,830,1003,1210,1502,1659,0,0,0,0,0,1677.2544452580785,0.9730770287597644,0.5345941038422667,0.2772667317607962,0.3226195770065076,0.08270974775756976,0.08047555062218847,0.049,0,0.10720495064093119,0.03041599135602377,0.11651687048769707,0.05189332547517313,0.11285783823796261
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2017,453,8.040696931400252e-4,0.007998022563957697,0.8040696931400252,7.998022563957697,563384,56639,0.10053356147849424,0.3041148045101772,845,1003,1211,1515,1686,0,0,0,0,0,1718.0460583838667,0.9731708645309559,0.5171672712893076,0.26781630933755135,0.3172869874300747,0.08445763264795392,0.07419126953757396,0.048,0,0.1090154732269244,0.02745155464440865,0.11626885341924147,0.05077366134621955,0.1173976128629982
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Largely Suburban CoC,2018,414,7.346586765141688e-4,0.00760079312623926,0.7346586765141688,7.60079312623926,563527,54468,0.09665552848399456,0.308747365616143,883,1047,1266,1587,1787,0,0,0,0,0,1755.6810952741691,0.9731534472205027,0.5123139513469169,0.25734567797887126,0.31014780482911586,0.07919860098680395,0.061025521092174115,0.045,0,0.11052057847435866,0.02545965456263172,0.11723553208497856,0.05132143116688065,0.12654683166204395
